incoming_name,iriusrisk_component
Component 1,CD-AZURE-CUSTOMER-LOCKBOX
Component 2,CD-MICROSOFT-AZURE-AD-B2C
Component 3,CD-MICROSOFT-AZURE-AD-DS
Component 4,CD-MICROSOFT-AZURE-ANALYSIS-SERVICE
Component 5,CD-MICROSOFT-AZURE-API-APPS
Component 6,CD-MICROSOFT-AZURE-API-MNGMT
Component 7,CD-MICROSOFT-AZURE-APP-CONFIG
Component 8,CD-MICROSOFT-AZURE-APP-INSIGHTS
Component 9,CD-MICROSOFT-AZURE-APP-SERVICE
Component 10,CD-MICROSOFT-AZURE-APP-SERVICE-ENV
Component 11,CD-MICROSOFT-AZURE-ATTESTATION
Component 12,CD-MICROSOFT-AZURE-AUTOMATION
Component 13,CD-MICROSOFT-AZURE-BACKUP
Component 14,CD-MICROSOFT-AZURE-BASTION
Component 15,CD-MICROSOFT-AZURE-BATCH
Component 16,CD-MICROSOFT-AZURE-BLOB-STORAGE
Component 17,CD-MICROSOFT-AZURE-BLOCKCHAIN-WORKBENCH
Component 18,CD-MICROSOFT-AZURE-BOT-FW-SDK
Component 19,CD-MICROSOFT-AZURE-BOT-SERVICE
Component 20,CD-MICROSOFT-AZURE-CACHE-REDIS
Component 21,CD-MICROSOFT-AZURE-CDN
,CD-MICROSOFT-AZURE-CITRIX-DAAS
,CD-MICROSOFT-AZURE-CLI
,CD-MICROSOFT-AZURE-CLOUD-SHELL
,CD-MICROSOFT-AZURE-COG-SER
,CD-MICROSOFT-AZURE-CONF-LEDGER
,CD-MICROSOFT-AZURE-CONTAINER-APPS
,CD-MICROSOFT-AZURE-CONTAINER-INSTANCES
,CD-MICROSOFT-AZURE-CONTAINER-REGISTRY
,CD-MICROSOFT-AZURE-DATA-BOX
,CD-MICROSOFT-AZURE-DATA-CATALOG
,CD-MICROSOFT-AZURE-DATA-FACTORY
,CD-MICROSOFT-AZURE-DATA-LAKE-ANALYTICS
,CD-MICROSOFT-AZURE-DATA-LAKE-STORAGE
,CD-MICROSOFT-AZURE-DATA-SHARE
,CD-MICROSOFT-AZURE-DATABRICKS
,CD-MICROSOFT-AZURE-DATADOG
,CD-MICROSOFT-AZURE-DB-MYSQL
,CD-MICROSOFT-AZURE-DB-POSTGRESQL
,CD-MICROSOFT-AZURE-DDOS-PROTECTION
,CD-MICROSOFT-AZURE-DEDICATED-HSM
,CD-MICROSOFT-AZURE-DEFENDER-IOT
,CD-MICROSOFT-AZURE-DEVOPS-SERVICE
,CD-MICROSOFT-AZURE-DNS
,CD-MICROSOFT-AZURE-DYNAMICS-365
,CD-MICROSOFT-AZURE-ELASTICSEARCH
,CD-MICROSOFT-AZURE-EVENT-GRID
,CD-MICROSOFT-AZURE-EVENT-HUB
,CD-MICROSOFT-AZURE-FILE-SYNC
,CD-MICROSOFT-AZURE-FILES
,CD-MICROSOFT-AZURE-HDINSHIGHT
,CD-MICROSOFT-AZURE-IMPORT-EXPORT
,CD-MICROSOFT-AZURE-IOT-EDGE
,CD-MICROSOFT-AZURE-IOT-HUB
,CD-MICROSOFT-AZURE-LINUX-VM
,CD-MICROSOFT-AZURE-MACH-LEARN
,CD-MICROSOFT-AZURE-MANAGED-APPS
,CD-MICROSOFT-AZURE-MANAGED-RESOURCE-GROUPS
,CD-MICROSOFT-AZURE-MARKETPLACE
,CD-MICROSOFT-AZURE-MEDIA-SERVICES
,CD-MICROSOFT-AZURE-MOBILE-APPS
,CD-MICROSOFT-AZURE-NOTIFICATION-HUBS
,CD-MICROSOFT-AZURE-NW-WATCHER
,CD-MICROSOFT-AZURE-OFFICE-365
,CD-MICROSOFT-AZURE-POWER-BI
,CD-MICROSOFT-AZURE-POWERSHELL
,CD-MICROSOFT-AZURE-PRIVATE-LINK
,CD-MICROSOFT-AZURE-PURVIEW
,CD-MICROSOFT-AZURE-QUEUE-STORAGE
,CD-MICROSOFT-AZURE-RELAY
,CD-MICROSOFT-AZURE-RESOURCE-MANAGER
,CD-MICROSOFT-AZURE-SDK
,CD-MICROSOFT-AZURE-SDK-JAVA
,CD-MICROSOFT-AZURE-SDK-JAVASCRIPT
,CD-MICROSOFT-AZURE-SDK-NET
,CD-MICROSOFT-AZURE-SDK-PYTHON
,CD-MICROSOFT-AZURE-SENTINEL
,CD-MICROSOFT-AZURE-SER-BUS-MSG
,CD-MICROSOFT-AZURE-SERVICE-FABRIC
,CD-MICROSOFT-AZURE-SITE-RECOVERY
,CD-MICROSOFT-AZURE-SQL-DB
,CD-MICROSOFT-AZURE-SQL-EDGE
,CD-MICROSOFT-AZURE-SQL-MI
,CD-MICROSOFT-AZURE-SQL-SERVER
,CD-MICROSOFT-AZURE-STR-ANALYTICS
,CD-MICROSOFT-AZURE-SYNAPSE-ANALYTICS
,CD-MICROSOFT-AZURE-TABLE-STORAGE
,CD-MICROSOFT-AZURE-TIME-SERIES-INSIGHTS
,CD-MICROSOFT-AZURE-VIRTUAL-DESKTOP
,CD-MICROSOFT-AZURE-VISUAL-STUDIO
,CD-MICROSOFT-AZURE-VM-SCALE-SET
,CD-MICROSOFT-AZURE-VNET
,CD-MICROSOFT-AZURE-VPN-GW
,CD-MICROSOFT-AZURE-WAF
,CD-MICROSOFT-AZURE-WINDOWS-VM
,CD-MICROSOFT-INFO-PROTECTION
,CD-MICROSOFT-VIRTUAL-WAN
,azure-sql
,azure-storage
,azure-virtual-machines
,microsoft-azure-active-directory
,microsoft-azure-ad-remote-workers
,microsoft-azure-application-gateway
,microsoft-azure-cosmos-db
,microsoft-azure-environment
,microsoft-azure-expressroute
,microsoft-azure-firewall
,microsoft-azure-firewall-manager
,microsoft-azure-front-door
,microsoft-azure-functions
,microsoft-azure-key-vault
,microsoft-azure-kubernetes-service
,microsoft-azure-load-balancer
,microsoft-azure-logic-apps
,microsoft-azure-monitor
,microsoft-azure-portal
,microsoft-azure-security-center
,microsoft-azure-traffic-manager
,microsoft-azure-web-apps
